Sample,X,Y,Z
0,0.168,-0.059,-0.816
1,-0.039,-0.027,-1.023
2,-0.012,0.008,-1.012
3,-0.016,0.004,-1.008
4,-0.039,-0.004,-0.996
5,-0.031,-0.020,-1.004
6,-0.027,-0.012,-1.020
7,-0.039,-0.012,-1.020
8,-0.016,-0.004,-1.020
9,-0.020,0.004,-1.004
10,-0.039,-0.008,-1.000
11,-0.039,-0.016,-1.016
12,-0.027,-0.008,-1.016
13,-0.035,-0.008,-1.016
14,-0.031,-0.004,-1.000
15,-0.023,0.008,-0.996
16,-0.039,-0.008,-1.004
17,-0.047,-0.016,-1.012
18,-0.023,-0.004,-1.016
19,-0.031,0.004,-1.008
20,-0.031,0.043,-0.980
21,-0.027,0.004,-1.000
22,-0.035,-0.016,-1.016
23,-0.039,-0.012,-1.020
24,-0.043,-0.008,-1.020
25,-0.020,0.012,-1.012
26,-0.023,0.000,-0.992
27,-0.035,0.012,-1.004
28,-0.047,-0.031,-1.008
29,-0.039,0.000,-1.027
30,-0.031,-0.020,-1.008
31,-0.027,0.012,-0.996
32,-0.039,-0.012,-1.000
33,-0.039,-0.004,-1.004
34,-0.043,-0.027,-1.020
35,-0.027,0.008,-1.016
36,-0.023,0.000,-1.000
37,-0.027,0.008,-0.992
38,-0.035,-0.008,-1.008
39,-0.043,-0.008,-1.020
40,-0.031,-0.070,-1.000
41,-0.023,0.012,-1.008
42,-0.031,-0.016,-0.996
43,-0.035,0.012,-1.000
44,-0.047,-0.016,-1.004
45,-0.035,-0.008,-1.020
46,-0.023,-0.008,-1.016
47,-0.031,0.012,-1.012
48,-0.027,0.000,-1.000
49,-0.031,0.012,-1.008
50,-0.020,-0.008,-1.012
51,-0.031,-0.016,-1.012
52,-0.031,-0.012,-1.012
53,-0.035,0.004,-1.008
54,-0.031,-0.008,-1.004
55,-0.031,-0.008,-1.004
56,-0.035,-0.012,-1.020
57,-0.016,0.000,-1.012
58,-0.031,-0.008,-0.996
59,-0.043,0.008,-1.004
60,-0.059,-0.004,-1.043
61,-0.027,0.000,-1.012
62,-0.031,0.000,-1.004
63,-0.039,-0.004,-1.004
64,-0.043,-0.008,-1.008
65,-0.020,0.000,-1.004
66,-0.027,-0.004,-1.012
67,-0.035,-0.012,-1.008
68,-0.020,0.008,-1.004
69,-0.031,0.000,-1.008
70,-0.043,-0.004,-1.012
71,-0.035,-0.004,-1.012
72,-0.031,-0.004,-1.012
73,-0.027,-0.016,-1.000
74,-0.039,0.000,-1.012
75,-0.031,-0.004,-1.020
76,-0.039,-0.016,-1.004
77,-0.027,-0.004,-1.012
78,-0.027,0.000,-1.000
79,-0.031,-0.004,-1.008
80,-0.043,-0.008,-1.016
81,-0.035,-0.016,-1.008
82,-0.020,-0.004,-1.008
83,-0.039,-0.008,-1.000
84,-0.027,0.004,-1.008
85,-0.039,-0.008,-1.008
86,-0.039,-0.012,-1.008
87,-0.027,0.000,-1.016
88,-0.031,-0.008,-1.000
89,-0.031,0.004,-1.012
90,-0.039,-0.016,-1.016
91,-0.023,0.000,-1.012
92,-0.027,-0.004,-1.000
93,-0.035,-0.008,-1.012
94,-0.031,-0.020,-1.012
95,-0.031,-0.004,-1.012
96,-0.031,-0.004,-1.012
97,-0.035,-0.004,-1.016
98,-0.020,-0.004,-1.008
99,-0.039,-0.004,-1.012
100,-0.027,-0.008,-1.016
101,-0.047,-0.055,-1.027
102,-0.043,0.012,-1.000
103,-0.031,0.035,-1.043
104,0.055,0.070,-1.043
105,-0.016,0.070,-1.012
106,-0.047,0.059,-0.996
107,-0.055,0.047,-0.996
108,0.008,0.074,-0.996
109,0.035,0.129,-1.031
110,-0.020,0.141,-1.066
111,-0.055,0.113,-1.035
112,-0.016,0.203,-0.992
113,-0.043,0.156,-0.988
114,-0.051,0.160,-1.016
115,-0.035,0.258,-1.090
116,-0.031,0.277,-1.105
117,-0.059,0.344,-1.039
118,-0.047,0.301,-0.922
119,-0.012,0.273,-0.902
120,-0.027,0.207,-1.047
121,-0.012,0.301,-1.117
122,0.117,0.473,-1.141
123,0.078,0.496,-1.086
124,0.012,0.344,-0.922
125,0.051,0.309,-0.773
126,0.102,0.387,-0.805
127,-0.102,0.312,-0.973
128,-0.156,0.297,-1.188
129,0.066,0.488,-1.176
130,-0.016,0.305,-0.957
131,-0.125,0.145,-0.742
132,0.031,0.328,-0.816
133,-0.141,0.062,-0.992
134,-0.078,0.262,-1.246
135,0.180,0.383,-1.219
136,0.047,0.258,-1.051
137,-0.078,0.164,-0.836
138,-0.043,0.141,-0.895
139,-0.012,0.129,-1.074
140,0.082,0.203,-1.227
141,0.152,0.402,-1.207
142,-0.039,0.336,-1.016
143,-0.105,0.332,-0.879
144,-0.129,0.230,-0.926
145,-0.027,0.289,-1.090
146,0.168,0.355,-1.090
147,0.164,0.648,-1.117
148,-0.035,0.402,-1.000
149,-0.027,0.555,-0.969
150,-0.098,0.340,-0.926
151,-0.137,0.367,-0.977
152,0.086,0.453,-1.000
153,0.156,0.547,-1.004
154,0.156,0.547,-1.004
155,-0.016,0.480,-1.527
156,0.031,0.602,-1.035
157,-0.121,0.543,-0.988
158,-0.219,0.289,-0.945
159,0.102,0.484,-0.914
160,0.266,0.559,-0.941
161,-0.086,0.527,-1.016
162,-0.102,0.477,-1.074
163,0.016,0.621,-1.074
164,-0.199,0.320,-0.988
165,-0.094,0.297,-0.918
166,0.199,0.477,-0.883
167,-0.008,0.246,-0.988
168,-0.070,0.418,-1.070
169,0.074,0.492,-1.059
170,0.133,0.402,-1.051
171,0.086,0.195,-0.953
172,0.195,0.262,-0.914
173,0.113,0.344,-1.023
174,0.012,0.281,-1.176
175,-0.059,0.492,-1.230
176,-0.059,0.344,-1.098
177,-0.145,0.418,-0.984
178,-0.273,0.117,-0.816
179,-0.023,0.527,-0.945
180,0.031,0.453,-1.078
181,-0.199,0.410,-1.230
182,-0.047,0.500,-1.148
183,0.219,0.641,-0.969
184,-0.172,0.309,-0.824
185,0.031,0.352,-0.871
186,0.309,0.598,-0.883
187,0.008,0.527,-1.059
188,0.043,0.453,-1.105
189,0.434,0.652,-0.984
190,0.105,0.387,-0.848
191,-0.035,0.184,-0.848
192,0.062,0.344,-1.000
193,-0.199,0.379,-1.168
194,-0.414,0.262,-1.184
195,-0.078,0.621,-1.051
196,-0.312,0.133,-0.812
197,-0.270,0.199,-0.844
198,0.117,0.262,-0.898
199,0.012,0.422,-1.074
200,-0.047,0.246,-1.160
201,0.207,0.387,-1.141
202,0.145,0.195,-1.031
203,0.031,-0.004,-0.996
204,0.055,0.047,-0.988
205,0.129,0.379,-1.105
206,0.039,0.223,-1.066
207,-0.086,0.445,-1.047
208,-0.070,0.277,-0.930
209,-0.254,0.191,-0.910
210,-0.305,-0.074,-0.883
211,-0.043,0.375,-1.051
212,-0.047,0.141,-1.078
213,-0.105,0.461,-1.113
214,0.031,0.086,-0.965
215,0.020,0.402,-0.941
216,-0.090,-0.230,-0.867
217,0.012,0.211,-1.141
218,0.277,0.191,-1.129
219,0.219,0.488,-0.488
220,-0.074,0.133,-0.676
221,-0.223,0.227,-0.992
222,0.043,-0.367,-0.973
223,0.066,0.398,-1.340
224,0.176,0.066,-1.020
225,-0.352,0.441,-0.930
226,-0.562,-0.367,-0.789
227,0.156,0.102,-1.074
228,0.203,-0.012,-1.195
229,-0.121,0.027,-1.246
230,-0.039,0.191,-0.898
