Sample,X,Y,Z
0,0.836,0.375,-0.031
1,1.012,0.062,-0.023
2,1.012,0.051,-0.008
3,1.016,0.047,-0.016
4,1.008,0.055,-0.004
5,1.008,0.051,-0.023
6,1.008,0.055,-0.023
7,1.004,0.051,-0.031
8,1.012,0.043,-0.008
9,1.004,0.047,-0.008
10,1.008,0.055,-0.020
11,1.004,0.059,-0.016
12,1.008,0.059,-0.012
13,1.012,0.059,-0.016
14,1.008,0.016,-0.008
15,1.008,0.055,-0.027
16,1.012,0.066,-0.016
17,1.008,0.051,-0.016
18,1.012,0.051,-0.020
19,1.008,0.059,-0.020
20,1.016,0.055,-0.039
21,1.008,0.059,-0.012
22,1.008,0.059,-0.008
23,1.008,0.062,-0.008
24,1.008,0.051,-0.016
25,1.012,0.047,-0.035
26,0.996,0.051,-0.016
27,1.008,0.055,-0.023
28,1.004,0.059,-0.016
29,1.008,0.047,-0.012
30,1.012,0.055,-0.023
31,1.008,0.051,-0.023
32,1.008,0.051,-0.012
33,1.008,0.066,-0.016
34,1.008,0.043,-0.008
35,1.000,0.051,-0.031
36,1.008,0.055,-0.023
37,1.004,0.059,-0.016
38,1.008,0.039,-0.016
39,1.016,0.055,-0.012
40,1.008,0.078,-0.074
41,0.992,0.055,-0.020
42,1.008,0.066,-0.012
43,1.020,0.055,-0.008
44,1.008,0.047,-0.004
45,1.012,0.047,-0.023
46,1.012,0.051,-0.016
47,1.008,0.055,-0.016
48,1.016,0.062,-0.016
49,1.008,0.051,-0.008
50,1.004,0.055,-0.016
51,1.000,0.051,-0.031
52,1.004,0.047,-0.012
53,1.016,0.062,-0.016
54,1.012,0.062,-0.008
55,1.008,0.043,-0.004
56,1.008,0.059,-0.020
57,1.004,0.051,-0.035
58,1.008,0.055,-0.020
59,1.012,0.059,-0.016
60,0.977,0.078,-0.090
61,1.004,0.047,-0.039
62,1.016,0.055,-0.023
63,1.004,0.051,-0.016
64,1.012,0.059,-0.012
65,1.008,0.047,-0.008
66,1.008,0.051,-0.016
67,1.000,0.051,-0.023
68,1.004,0.035,-0.020
69,1.012,0.051,-0.012
70,1.012,0.059,-0.020
71,1.016,0.059,-0.012
