Sample,X,Y,Z
198,0.027,0.285,-1.008
199,-0.172,0.289,-1.062
200,0.066,0.449,-1.141
201,0.074,0.383,-0.984
202,0.129,0.258,-0.980
203,0.012,0.074,-1.027
204,0.113,0.145,-1.027
205,0.059,0.336,-1.109
206,0.098,0.387,-1.086
207,0.055,0.465,-0.965
208,-0.133,0.250,-0.953
209,-0.254,0.066,-0.883
210,-0.074,0.172,-0.996
211,0.000,0.297,-0.980
212,-0.078,0.250,-1.023
213,-0.168,0.309,-0.992
214,-0.078,0.211,-1.039
215,0.000,0.023,-0.949
216,-0.094,-0.055,-0.969
217,0.145,-0.082,-0.918
218,0.266,0.590,-1.137
219,-0.012,-0.094,-1.012
220,-0.117,0.402,-1.113
221,-0.152,-0.176,-1.000
222,0.246,0.129,-0.867
223,-0.211,-0.016,-0.941
224,-0.090,-0.062,-1.148
225,0.121,0.184,-1.094
226,-0.035,0.348,-1.109
227,-0.242,-0.301,-1.039
228,0.105,-0.023,-0.883
229,0.023,-0.082,-0.969
230,-0.145,-0.109,-1.141
231,0.055,0.223,-1.098
232,-0.070,0.254,-1.090
233,-0.266,-0.113,-0.945
234,0.035,0.023,-0.785
235,0.031,0.078,-0.898
236,-0.270,-0.309,-1.105
237,0.289,0.324,-1.195
238,0.168,0.266,-1.082
239,-0.426,-0.145,-0.891
240,-0.250,-0.281,-0.871
241,0.355,0.004,-1.047
242,0.066,0.047,-1.172
243,-0.066,0.117,-1.113
244,-0.137,0.297,-0.891
245,-0.059,0.125,-0.844
246,0.113,-0.105,-0.875
247,0.035,-0.004,-0.949
248,-0.133,-0.152,-1.062
249,-0.059,0.273,-1.223
250,0.062,0.109,-1.004
251,-0.312,0.051,-1.023
252,-0.035,-0.500,-0.832
253,0.148,0.090,-1.012
254,0.090,-0.020,-1.082
255,-0.324,0.109,-1.215
256,-0.129,-0.008,-0.969
257,0.125,0.125,-0.906
258,0.035,-0.371,-0.957
259,0.012,-0.109,-1.062
260,0.141,-0.012,-1.109
261,-0.043,0.156,-1.074
262,-0.184,0.039,-1.035
263,-0.012,-0.062,-0.879
264,-0.055,-0.070,-0.926
265,-0.133,-0.246,-0.883
266,-0.277,0.031,-1.023
267,-0.070,0.039,-1.109
268,0.066,0.176,-1.109
269,0.117,-0.043,-1.043
270,0.074,-0.133,-0.895
271,0.277,0.035,-0.922
272,0.074,0.000,-1.066
273,-0.137,0.059,-1.250
274,-0.172,-0.160,-1.070
275,0.129,0.172,-0.906
276,0.191,-0.035,-0.723
277,-0.211,0.090,-0.977
278,-0.531,-0.195,-1.102
279,-0.066,0.215,-1.086
280,-0.027,0.191,-1.062
281,-0.133,-0.180,-0.887
282,0.090,-0.074,-0.887
283,0.059,-0.086,-1.133
284,-0.059,-0.051,-1.223
285,0.074,0.086,-1.039
286,-0.211,0.062,-0.992
287,0.094,-0.371,-0.883
288,0.457,0.227,-0.918
289,0.082,0.051,-0.988
290,-0.645,-0.207,-1.074
291,-0.066,0.105,-1.020
292,0.176,0.121,-0.980
293,-0.141,-0.250,-1.000
294,-0.016,-0.312,-0.969
295,0.277,0.250,-1.082
296,-0.148,-0.117,-1.086
297,-0.531,-0.215,-1.059
298,-0.082,-0.070,-1.105
299,0.176,0.086,-1.078
300,-0.020,-0.270,-0.969
301,0.105,0.141,-0.855
302,0.027,0.129,-1.012
303,-0.230,-0.160,-0.949
304,-0.086,0.008,-1.062
305,0.270,-0.062,-0.992
306,0.004,-0.152,-1.051
307,0.000,-0.117,-1.070
308,0.000,0.074,-1.090
309,-0.074,0.078,-1.008
310,-0.250,-0.242,-0.895
311,-0.027,0.148,-0.930
312,0.148,-0.039,-1.000
313,-0.113,0.195,-1.016
314,-0.180,-0.070,-0.984
315,0.023,0.176,-0.980
316,0.117,0.020,-0.945
317,0.066,-0.016,-1.004
318,0.152,-0.043,-1.004
319,-0.012,0.078,-1.066
320,-0.207,0.027,-1.059
321,-0.016,-0.016,-0.945
322,0.059,-0.066,-0.898
323,-0.055,0.000,-1.039
324,-0.141,-0.086,-1.078
325,-0.141,0.223,-1.062
326,-0.016,0.086,-1.008
327,-0.098,-0.027,-0.883
328,-0.102,-0.039,-0.484
329,0.070,-0.035,-1.070
330,-0.094,0.117,-1.066
331,-0.156,-0.012,-0.965
332,-0.016,0.070,-0.898
333,0.148,-0.008,-0.871
334,-0.094,-0.098,-1.035
335,-0.043,-0.051,-1.129
336,0.008,0.094,-1.027
337,-0.133,-0.031,-0.863
338,-0.227,0.016,-0.977
339,-0.195,-0.258,-1.016
340,-0.094,-0.227,-1.148
341,0.160,0.086,-1.215
342,-0.004,0.156,-1.070
343,-0.375,-0.262,-0.949
344,-0.059,0.023,-1.035
345,0.148,-0.086,-1.113
346,-0.188,-0.035,-1.078
347,-0.105,0.016,-0.910
348,0.027,0.125,-0.852
349,-0.023,-0.066,-0.910
350,0.191,0.117,-1.066
351,0.266,0.047,-1.086
352,-0.047,-0.008,-0.969
353,-0.066,0.023,-0.973
354,-0.090,-0.023,-0.965
355,-0.113,0.016,-1.094
356,-0.098,0.129,-1.086
357,-0.266,0.090,-1.000
358,-0.203,-0.023,-0.816
359,-0.145,0.223,-0.918
360,0.090,-0.070,-0.953
361,0.023,0.102,-0.992
362,0.047,0.055,-1.094
363,0.180,0.254,-1.098
364,-0.156,-0.242,-0.844
365,-0.086,-0.008,-0.973
366,0.047,-0.305,-0.977
367,0.047,0.215,-1.180
368,-0.188,-0.148,-1.105
369,-0.176,0.125,-0.988
370,-0.102,0.195,-0.926
371,-0.105,-0.246,-0.914
372,0.090,0.117,-1.012
373,0.016,-0.211,-1.020
374,-0.152,0.004,-1.094
375,0.141,0.008,-1.105
376,0.109,0.090,-1.012
377,-0.090,-0.207,-0.957
378,-0.086,-0.156,-0.930
379,-0.031,0.039,-1.102
380,-0.176,-0.078,-1.086
381,-0.164,0.227,-1.039
382,-0.023,0.141,-0.910
383,-0.246,-0.008,-0.875
384,-0.254,-0.223,-0.883
385,0.035,0.125,-1.117
386,0.195,-0.012,-1.141
387,-0.023,0.094,-1.023
388,0.125,0.102,-0.945
389,-0.176,-0.246,-0.910
390,0.055,0.090,-1.160
391,0.043,-0.109,-1.051
392,-0.273,0.242,-1.031
393,-0.176,-0.129,-0.762
394,0.031,0.363,-0.914
395,-0.387,-0.309,-1.027
396,-0.125,-0.039,-1.164
397,0.301,0.121,-1.023
398,0.016,0.121,-0.965
399,-0.184,-0.375,-0.949
400,0.344,0.125,-1.039
401,0.102,-0.324,-1.176
402,-0.297,-0.316,-1.039
403,-0.031,0.215,-0.828
404,-0.055,0.105,-0.859
405,-0.168,-0.152,-1.008
406,-0.016,0.000,-1.004
407,0.035,0.184,-1.133
408,-0.191,-0.383,-0.984
409,0.176,0.211,-0.949
410,0.188,-0.148,-1.016
411,-0.285,-0.238,-1.164
412,-0.258,-0.180,-1.340
413,0.246,0.176,-1.043
414,-0.102,0.164,-0.852
415,-0.070,-0.125,-0.711
416,-0.062,0.219,-0.906
417,-0.156,-0.188,-1.117
418,-0.109,0.137,-1.160
419,0.188,0.199,-1.055
420,-0.145,-0.043,-0.875
421,-0.121,-0.180,-0.934
422,0.027,-0.082,-1.059
423,-0.137,-0.070,-1.188
424,0.062,-0.062,-1.062
425,0.242,0.441,-0.902
426,-0.234,-0.195,-0.812
427,-0.258,-0.129,-0.953
428,0.293,0.012,-1.062
429,0.125,0.016,-1.078
430,-0.109,0.016,-1.062
431,0.004,0.059,-0.941
432,-0.066,0.074,-1.043
433,-0.172,-0.352,-1.043
434,0.078,0.023,-1.098
435,0.023,-0.113,-1.031
436,-0.184,-0.039,-0.980
437,-0.059,0.047,-0.973
438,-0.035,0.129,-1.027
439,-0.215,-0.195,-1.043
440,0.078,-0.070,-0.941
441,0.281,0.094,-0.906
442,0.281,0.094,-0.906
443,0.012,-0.043,-0.988
444,-0.168,-0.074,-1.062
445,0.254,0.055,-1.090
446,-0.008,0.090,-1.035
447,-0.273,-0.316,-0.957
448,0.016,0.062,-1.008
449,-0.016,-0.047,-1.023
450,-0.234,-0.043,-1.062
451,-0.105,0.016,-1.016
452,-0.066,0.094,-0.957
453,-0.105,-0.160,-0.902
454,0.090,0.066,-0.969
455,0.215,-0.031,-1.086
456,-0.004,-0.047,-1.125
457,-0.078,0.016,-1.145
458,0.188,0.094,-0.957
459,-0.172,0.176,-1.047
460,-0.188,-0.441,-0.875
461,0.047,0.355,-1.125
462,-0.047,0.039,-1.074
463,-0.297,0.051,-1.020
464,0.055,0.242,-0.855
465,-0.008,-0.086,-0.777
466,-0.184,-0.211,-0.934
467,0.316,0.043,-1.191
468,0.188,0.215,-1.273
469,-0.207,-0.133,-1.016
470,-0.141,0.297,-0.844
471,0.145,0.062,-0.781
472,-0.348,-0.320,-0.895
473,0.004,-0.082,-1.160
474,0.289,0.398,-1.148
475,-0.152,0.074,-0.941
476,-0.156,-0.062,-0.922
477,0.109,-0.047,-0.941
478,0.008,-0.473,-1.117
479,0.121,0.023,-1.207
480,0.219,0.164,-1.082
481,-0.406,0.094,-0.965
482,-0.336,-0.215,-0.953
483,0.129,0.070,-1.000
484,-0.031,-0.062,-0.984
485,-0.316,-0.066,-1.016
