Sample,X,Y,Z
736,-0.199,-0.312,-1.121
737,0.855,0.832,-1.094
738,-0.500,-0.254,-0.926
739,-0.785,-0.336,-0.863
740,0.699,0.508,-0.828
741,0.375,0.176,-1.023
742,-0.727,-0.832,-1.082
743,0.125,0.250,-1.168
744,0.332,0.254,-1.070
745,-0.660,-0.367,-1.074
746,-0.172,-0.039,-0.961
747,0.328,0.246,-1.047
748,-0.102,-0.070,-1.020
749,-0.254,0.082,-0.984
750,0.219,0.273,-0.891
751,0.109,0.102,-0.836
752,-0.102,-0.312,-0.883
753,0.105,-0.082,-1.148
754,0.383,0.105,-1.270
755,-0.480,-0.281,-1.062
756,-0.512,-0.230,-1.027
757,0.648,0.508,-0.883
758,-0.141,0.047,-0.961
759,-0.852,-0.461,-1.230
760,0.262,0.281,-1.074
761,0.438,0.652,-0.910
762,-0.633,-0.605,-0.758
763,0.195,0.191,-0.914
764,0.582,0.305,-1.102
765,-0.566,-0.555,-1.109
766,-0.344,-0.211,-1.051
767,0.586,0.539,-0.992
768,-0.266,-0.164,-1.008
769,-0.555,-0.332,-0.980
770,0.262,0.234,-1.051
771,0.160,0.195,-1.086
772,-0.402,-0.117,-1.102
773,0.219,0.234,-0.941
774,0.355,0.328,-0.840
775,-0.355,-0.375,-0.883
776,-0.113,-0.031,-1.051
777,0.281,-0.016,-1.078
778,-0.246,0.039,-1.098
779,-0.582,-0.371,-1.062
780,0.254,0.379,-1.047
781,0.066,0.043,-0.930
782,-0.340,-0.277,-1.023
783,0.238,0.195,-1.004
784,0.316,0.281,-1.078
785,-0.207,-0.191,-0.961
786,-0.137,0.035,-0.969
787,0.305,0.125,-0.914
788,-0.109,-0.195,-0.992
789,-0.441,-0.301,-1.180
790,0.215,0.133,-1.098
791,0.270,0.398,-0.922
792,-0.590,-0.273,-0.855
793,-0.199,-0.070,-1.055
794,0.473,0.207,-1.102
795,-0.246,-0.047,-1.086
796,-0.316,-0.203,-0.949
797,0.410,0.527,-0.871
798,0.055,-0.098,-0.895
799,-0.395,-0.426,-1.023
800,0.156,0.031,-1.188
801,0.051,-0.031,-1.160
802,-0.262,-0.066,-1.066
803,0.016,0.191,-0.891
804,-0.188,0.070,-0.910
805,-0.254,-0.180,-1.055
806,0.031,0.027,-1.098
807,0.160,0.184,-0.914
808,-0.031,0.254,-0.840
809,0.027,-0.211,-0.750
810,0.410,0.008,-1.004
811,0.250,0.078,-1.336
812,-0.367,-0.355,-1.246
813,-0.469,-0.086,-1.000
814,0.039,0.184,-0.871
815,-0.277,-0.062,-0.977
816,-0.133,-0.238,-1.082
817,0.395,0.367,-1.094
818,-0.090,0.043,-0.898
819,-0.336,-0.047,-0.922
820,0.477,0.227,-1.023
821,0.359,0.094,-1.137
822,-0.371,-0.398,-1.055
823,-0.113,0.105,-0.926
824,-0.027,0.082,-0.816
825,-0.387,-0.043,-1.062
826,0.066,-0.055,-1.039
827,0.156,0.223,-0.980
828,-0.340,-0.176,-0.973
829,-0.305,-0.227,-1.129
830,0.414,0.219,-1.191
831,0.316,0.152,-1.078
832,-0.273,-0.227,-0.945
833,0.090,0.160,-0.883
834,0.188,0.047,-0.902
835,-0.074,-0.176,-0.895
836,-0.113,0.000,-1.148
837,0.238,0.113,-1.039
838,-0.402,-0.125,-1.039
839,-0.246,-0.156,-0.980
840,-0.016,0.297,-1.105
841,-0.238,-0.207,-1.188
842,0.109,0.055,-1.066
843,0.152,0.301,-0.883
844,-0.461,-0.055,-0.914
845,0.086,-0.152,-0.895
846,0.441,0.270,-1.035
847,-0.438,-0.363,-1.066
848,-0.172,-0.285,-0.953
849,0.602,0.688,-0.969
850,-0.496,-0.312,-1.113
851,-0.457,-0.344,-1.180
852,0.594,0.461,-1.109
853,0.117,0.039,-0.973
854,-0.570,-0.270,-0.898
855,0.445,0.406,-0.934
856,0.227,0.074,-1.059
857,-0.566,-0.555,-1.113
858,0.309,0.262,-0.988
859,0.246,0.215,-0.910
860,-0.445,-0.359,-0.867
861,-0.039,0.117,-0.953
862,0.250,0.227,-1.055
863,-0.309,-0.262,-1.047
864,-0.172,-0.012,-1.031
865,0.383,0.375,-1.066
866,-0.320,-0.332,-0.988
867,-0.383,-0.285,-1.078
868,0.344,0.164,-0.988
869,-0.062,0.109,-1.031
870,-0.715,-0.559,-1.035
871,0.461,0.398,-1.027
872,0.461,0.398,-1.027
873,0.445,0.410,-1.000
874,-0.750,-0.426,-1.008
875,0.102,0.156,-1.035
