Sample,X,Y,Z
198,0.129,0.281,-1.113
199,0.059,0.297,-1.074
200,-0.109,0.164,-0.973
201,0.000,0.121,-0.883
202,0.008,0.188,-0.988
203,-0.102,0.320,-1.141
204,-0.254,0.141,-1.070
205,-0.082,0.359,-1.043
206,-0.031,0.164,-0.895
207,0.023,0.023,-0.887
208,0.125,0.055,-0.910
209,-0.121,0.250,-1.145
210,-0.223,-0.012,-1.145
211,0.016,0.352,-1.125
212,0.211,0.027,-0.891
213,-0.129,0.012,-0.977
214,-0.035,-0.145,-0.906
215,-0.023,0.320,-1.016
216,-0.348,0.172,-1.133
217,-0.398,0.027,-1.062
218,0.246,0.074,-0.992
219,0.422,-0.023,-0.852
220,-0.090,-0.215,-0.961
221,-0.406,-0.133,-1.105
222,-0.043,0.102,-1.133
223,0.391,0.305,-1.086
224,0.188,0.027,-0.934
225,-0.141,-0.203,-0.930
226,-0.090,0.035,-1.035
227,-0.258,0.012,-1.176
228,-0.492,-0.012,-1.234
229,0.062,0.176,-1.012
230,0.297,0.223,-0.906
231,-0.168,-0.168,-0.820
232,-0.527,-0.207,-1.004
233,-0.133,-0.012,-1.113
234,0.020,0.324,-1.160
235,-0.051,0.047,-0.898
236,-0.020,0.008,-0.809
237,0.172,-0.004,-0.809
238,0.008,0.055,-1.020
239,-0.105,0.059,-1.145
240,0.203,0.391,-1.113
241,0.062,0.039,-0.852
242,-0.145,-0.086,-0.906
243,0.016,-0.191,-1.074
244,-0.047,0.129,-1.324
245,-0.137,-0.305,-1.141
246,-0.062,0.434,-1.066
247,0.039,-0.020,-0.723
248,-0.496,-0.031,-0.863
249,-0.316,-0.117,-1.043
250,0.102,0.301,-1.203
251,0.090,0.133,-1.098
252,-0.125,0.004,-0.863
253,-0.094,-0.035,-0.824
254,0.066,-0.008,-1.016
255,0.039,-0.117,-1.234
256,0.133,-0.051,-1.160
257,0.203,0.219,-1.004
258,-0.102,0.133,-0.820
259,-0.434,-0.207,-0.832
260,-0.176,0.012,-1.027
261,0.098,-0.043,-1.141
262,-0.152,0.195,-1.086
263,-0.074,-0.082,-0.871
264,0.168,0.301,-0.758
265,-0.094,-0.129,-0.926
266,-0.332,-0.246,-1.172
267,0.207,-0.023,-1.316
268,0.168,0.109,-1.145
269,-0.027,0.078,-0.996
270,-0.422,-0.055,-0.855
271,-0.316,-0.082,-0.918
272,0.051,0.102,-1.098
273,0.023,0.211,-1.086
274,-0.152,0.031,-0.938
275,-0.113,0.113,-0.766
276,0.090,0.090,-0.879
277,-0.219,-0.191,-1.086
278,-0.105,-0.207,-1.273
279,0.219,-0.012,-1.160
280,0.156,0.203,-0.930
281,-0.223,-0.031,-0.836
282,-0.465,0.027,-0.941
283,-0.125,-0.113,-1.059
284,0.145,0.258,-1.148
285,0.066,-0.055,-0.938
286,0.012,0.094,-0.836
287,-0.016,0.008,-0.895
288,-0.469,-0.172,-1.160
289,-0.016,-0.246,-1.309
290,0.484,0.293,-1.211
291,0.012,-0.113,-0.945
292,-0.457,-0.129,-0.812
293,-0.191,0.164,-0.891
294,-0.164,-0.094,-0.926
295,0.016,0.086,-1.012
296,0.137,0.141,-1.008
297,0.000,-0.027,-0.852
298,-0.121,-0.082,-0.914
299,0.035,0.070,-1.074
300,-0.121,-0.258,-1.199
301,-0.094,-0.180,-1.203
302,0.328,0.012,-1.008
303,-0.031,0.094,-0.973
304,-0.496,-0.152,-1.043
305,-0.137,0.113,-1.051
306,0.090,0.207,-0.965
307,-0.109,-0.227,-0.766
308,0.125,-0.012,-0.816
309,0.094,0.176,-1.066
310,-0.297,-0.043,-1.242
311,-0.203,0.027,-1.266
312,0.113,-0.023,-0.988
313,0.109,-0.191,-0.930
314,0.012,-0.160,-0.910
315,-0.312,0.176,-1.141
316,-0.504,-0.133,-1.098
317,-0.008,0.496,-1.156
318,0.246,-0.012,-0.863
319,0.113,-0.121,-0.723
320,0.211,-0.020,-0.742
321,-0.230,0.152,-1.020
322,-0.402,-0.105,-1.164
323,0.285,0.262,-1.113
324,0.309,0.070,-0.992
325,-0.137,-0.488,-0.867
326,-0.316,-0.113,-0.980
327,-0.324,-0.027,-1.102
328,-0.367,0.109,-1.137
329,-0.105,0.145,-1.086
330,0.227,-0.043,-0.797
331,0.078,0.047,-0.848
332,-0.328,-0.332,-0.969
333,-0.293,-0.121,-1.156
334,0.195,0.230,-1.172
335,0.113,-0.031,-1.102
336,0.047,-0.152,-0.961
337,0.031,-0.008,-0.953
338,-0.215,-0.055,-1.051
339,-0.438,-0.051,-1.051
340,0.023,0.215,-1.086
341,0.047,0.031,-0.875
342,-0.070,-0.039,-0.867
343,-0.094,-0.043,-0.871
344,-0.086,-0.109,-1.035
345,0.062,0.102,-1.129
346,0.008,-0.031,-1.113
347,0.008,0.047,-1.125
348,0.031,-0.062,-0.980
349,-0.105,0.059,-0.938
350,-0.512,-0.172,-0.883
351,-0.199,-0.016,-0.910
352,0.148,0.277,-0.953
353,-0.008,-0.012,-0.957
354,-0.078,-0.094,-1.000
355,0.043,0.109,-1.070
356,-0.145,-0.332,-0.984
357,-0.016,-0.078,-1.133
358,0.270,-0.152,-1.074
359,0.047,-0.047,-1.133
360,-0.289,-0.191,-1.129
361,-0.230,0.090,-1.035
362,-0.203,-0.039,-0.867
363,-0.055,-0.133,-0.766
364,0.277,0.121,-0.891
365,0.070,-0.074,-0.926
366,-0.379,0.066,-1.188
367,-0.117,-0.184,-1.129
368,0.219,0.207,-1.090
369,0.082,-0.348,-0.938
370,-0.211,-0.219,-1.004
371,-0.137,-0.180,-1.059
372,-0.355,0.305,-1.207
373,-0.156,0.047,-1.121
374,0.098,0.297,-0.859
375,-0.039,-0.113,-0.727
376,-0.238,-0.328,-0.730
377,0.098,0.230,-1.109
378,-0.078,0.066,-1.211
379,-0.121,-0.012,-1.113
380,0.262,0.145,-0.918
381,0.105,-0.270,-0.789
382,-0.297,-0.348,-1.020
383,0.066,-0.016,-1.141
384,-0.195,0.238,-1.176
385,-0.535,-0.172,-1.016
386,-0.129,0.059,-0.473
387,0.082,-0.086,-0.914
388,-0.121,-0.273,-1.094
389,0.102,0.039,-1.051
390,-0.055,0.242,-1.004
391,-0.160,-0.195,-0.871
392,0.000,-0.109,-0.902
393,0.402,-0.031,-1.105
394,-0.016,-0.199,-1.180
395,-0.199,-0.047,-1.098
396,-0.184,-0.008,-0.871
397,-0.070,0.082,-0.957
398,-0.203,-0.164,-0.922
399,0.008,0.059,-1.117
400,0.105,0.062,-0.957
401,-0.320,-0.043,-0.930
402,-0.184,-0.273,-0.930
403,0.191,0.145,-1.031
404,-0.027,-0.234,-1.211
405,-0.266,-0.102,-1.203
406,0.047,0.035,-0.988
407,-0.125,0.023,-0.773
408,-0.383,-0.219,-0.910
409,0.000,0.020,-1.004
410,0.090,0.359,-1.188
