Sample,X,Y,Z
198,0.242,0.191,-1.027
199,-0.078,0.324,-1.066
200,-0.207,0.230,-1.055
201,0.004,0.258,-1.074
202,-0.152,0.180,-1.035
203,-0.195,0.129,-1.145
204,0.133,0.258,-1.145
205,0.066,0.328,-1.012
206,-0.203,0.285,-1.023
207,-0.098,0.141,-0.969
208,0.184,0.379,-0.973
209,0.016,0.070,-0.965
210,0.031,0.238,-1.059
211,0.125,0.324,-1.016
212,0.059,0.398,-1.078
213,-0.023,0.289,-0.957
214,-0.223,0.242,-0.977
215,-0.172,0.043,-0.926
216,0.156,0.457,-0.992
217,-0.133,0.148,-0.969
218,-0.113,0.277,-0.988
219,0.000,0.406,-0.973
220,-0.223,0.039,-0.992
221,0.023,0.074,-1.051
222,0.297,0.191,-1.055
223,-0.062,0.133,-1.055
224,0.098,0.328,-1.109
225,0.156,0.488,-0.949
226,-0.254,0.074,-0.871
227,-0.172,0.000,-0.965
228,0.301,0.191,-0.930
229,-0.074,0.078,-0.949
230,-0.152,0.320,-1.164
231,0.145,0.176,-0.969
232,-0.176,0.062,-0.848
233,-0.258,-0.309,-1.027
234,0.234,0.027,-1.117
235,0.000,0.125,-1.129
236,-0.250,-0.039,-1.000
237,-0.062,0.141,-0.961
238,0.121,0.055,-0.957
239,-0.012,-0.109,-1.145
240,0.125,-0.031,-1.113
241,-0.070,0.281,-1.109
242,-0.184,-0.086,-0.945
243,0.004,0.230,-0.973
244,0.016,-0.020,-1.023
245,-0.184,-0.055,-1.059
246,-0.055,0.086,-0.953
247,-0.031,0.094,-0.906
248,-0.133,0.098,-1.047
249,0.172,0.094,-1.043
250,0.117,0.035,-0.965
251,-0.043,0.172,-0.973
252,-0.105,-0.230,-0.945
253,-0.121,0.191,-1.105
254,0.109,-0.082,-1.125
255,0.086,0.234,-0.984
256,-0.211,-0.074,-0.855
257,-0.152,-0.113,-0.906
258,-0.023,0.066,-1.047
259,0.184,-0.066,-1.121
260,0.082,0.266,-1.020
261,-0.203,-0.047,-0.871
262,-0.363,-0.160,-0.922
263,0.125,-0.008,-0.988
264,0.156,0.121,-1.172
265,-0.262,-0.148,-1.215
266,-0.020,0.117,-1.043
267,0.199,0.176,-0.852
268,-0.109,-0.180,-0.875
269,-0.273,-0.328,-0.984
270,0.168,-0.012,-1.172
271,0.074,0.074,-1.141
272,-0.031,0.047,-1.031
273,-0.070,0.070,-0.809
274,-0.168,-0.086,-0.922
275,-0.176,-0.391,-1.043
276,0.188,0.082,-1.242
277,0.277,0.059,-1.066
278,-0.180,0.312,-1.086
279,-0.035,-0.262,-0.840
280,-0.055,0.246,-0.879
281,-0.168,-0.551,-1.035
282,0.113,0.051,-1.156
283,0.398,0.348,-1.027
284,-0.250,0.148,-0.977
285,-0.469,-0.090,-0.914
286,-0.074,0.066,-0.895
287,0.027,-0.012,-0.973
288,-0.168,-0.293,-0.945
289,0.195,0.375,-1.066
290,0.047,0.023,-1.086
291,-0.188,-0.027,-1.102
292,0.109,-0.062,-0.988
293,0.156,0.102,-1.008
294,-0.023,-0.277,-0.863
295,-0.246,0.027,-0.961
296,-0.062,0.047,-1.172
297,0.074,-0.004,-1.039
298,-0.027,0.176,-0.988
299,-0.039,-0.152,-0.832
300,-0.016,0.113,-0.914
301,-0.273,-0.410,-1.055
