Sample,X,Y,Z
0,0.258,-0.008,-0.566
1,0.066,0.195,-0.641
2,-0.500,0.086,-0.445
3,-0.629,-0.020,-0.324
4,0.016,-0.117,-0.508
5,0.812,0.051,-0.812
6,0.207,0.027,-0.816
7,-0.535,-0.086,-1.027
8,-0.719,-0.012,-0.105
9,-0.059,0.105,-0.121
10,0.242,0.090,-0.477
11,0.180,0.086,-0.656
12,-0.223,0.133,-0.535
13,-0.660,0.039,-0.719
14,-0.363,-0.105,-0.359
15,0.121,-0.043,-1.340
16,0.375,0.086,-0.867
17,-0.078,-0.031,-0.730
18,-0.773,0.000,-0.348
19,-0.434,-0.043,-0.379
20,0.289,0.148,-0.695
21,0.484,-0.016,-1.164
22,0.098,0.168,-1.246
23,-0.484,0.117,-0.855
24,-0.633,-0.070,-0.602
25,0.008,-0.250,-0.996
26,0.820,0.047,-1.645
27,0.219,0.047,-1.676
28,-0.516,-0.188,-1.066
29,-0.746,-0.031,-0.461
30,-0.051,0.082,-0.500
31,0.496,0.066,-0.980
32,0.324,0.094,-1.293
33,-0.242,0.168,-1.004
34,-0.676,0.047,-0.633
35,-0.359,-0.168,-0.344
36,0.512,-0.125,-1.336
37,0.812,0.090,-1.754
38,-0.090,-0.109,-1.496
39,-0.789,-0.121,-0.746
40,-0.406,-0.020,-0.207
41,0.355,0.145,-0.379
42,0.469,-0.004,-1.160
43,0.016,0.195,-1.164
44,-0.523,0.129,-0.766
45,-0.613,-0.023,-0.531
46,0.016,-0.207,-0.969
47,0.820,0.043,-1.652
48,0.434,0.035,-1.715
49,-0.520,-0.219,-1.133
50,-0.742,-0.090,-0.523
51,-0.023,0.051,-0.512
52,0.504,0.121,-0.492
53,0.305,0.078,-1.285
54,-0.242,0.152,-0.941
55,-0.688,0.105,-0.566
56,-0.383,-0.191,-0.316
57,0.512,-0.047,-1.348
58,0.832,0.102,-1.777
59,-0.051,-0.145,-1.527
60,-0.793,-0.027,-0.754
61,-0.441,-0.055,-0.457
62,0.352,0.133,-0.387
63,0.496,-0.004,-1.188
64,0.047,0.184,-1.086
65,-0.559,0.160,-0.715
66,-0.668,-0.074,-0.480
67,0.004,-0.184,-0.957
68,0.855,0.055,-1.660
69,0.234,0.043,-1.715
70,-0.547,-0.203,-1.129
71,-0.750,-0.117,-0.562
72,0.000,0.031,-0.574
73,0.527,0.078,-1.016
74,0.320,0.078,-1.266
75,-0.297,0.156,-0.914
76,-0.719,0.094,-0.531
77,-0.348,-0.152,-0.305
78,0.508,-0.031,-1.301
79,0.832,0.109,-1.738
80,-0.066,-0.133,-1.531
81,-0.758,-0.094,-0.832
82,-0.438,-0.047,-0.508
83,0.352,0.094,-0.418
84,0.477,-0.008,-1.234
85,0.008,0.160,-1.160
86,-0.543,0.168,-0.680
87,-0.656,-0.020,-0.387
88,0.023,-0.141,-0.879
89,0.848,0.070,-1.629
90,0.219,0.062,-1.730
91,-0.500,-0.242,-1.176
92,-0.723,-0.129,-0.613
93,-0.016,0.004,-0.316
94,0.520,0.031,-1.039
95,0.168,0.070,-1.312
96,-0.281,0.188,-0.859
97,-0.730,0.098,-0.457
98,-0.379,-0.133,-0.262
99,0.512,-0.043,-1.273
100,0.848,0.129,-1.781
101,-0.094,-0.129,-1.555
102,-0.785,-0.117,-0.844
103,-0.398,-0.051,-0.539
104,0.375,0.047,-0.879
105,0.500,-0.012,-1.258
106,0.012,0.160,-1.055
107,-0.625,0.168,-0.555
108,-0.656,-0.016,-0.398
109,0.055,-0.129,-0.879
110,0.840,0.133,-1.605
111,0.188,0.035,-1.691
112,-0.555,-0.238,-1.180
113,-0.668,-0.102,-0.672
114,0.074,-0.035,-0.691
115,0.504,0.000,-1.070
116,0.051,0.230,-1.379
117,-0.941,0.023,-0.953
118,-1.250,0.047,-0.453
119,-0.547,0.266,-0.191
120,-0.137,0.219,-1.059
121,-0.586,-0.031,-1.625
122,-1.238,-0.242,-1.598
123,-1.156,0.137,-0.879
124,-0.656,0.223,-0.477
125,-0.293,0.266,-0.711
126,-0.426,-0.062,-1.234
127,-0.629,-0.012,-1.344
128,-0.832,0.102,-0.875
129,-0.625,-0.012,-0.434
130,0.062,0.086,-0.715
131,0.594,0.340,-1.395
132,-0.172,-0.195,-1.531
133,-0.648,-0.203,-1.195
134,-0.531,-0.059,-0.734
135,-0.031,-0.027,-0.406
136,0.500,-0.023,-1.180
137,0.219,0.426,-1.223
138,-0.992,0.090,-0.773
139,-1.621,-0.156,-0.500
140,-0.484,0.090,-0.656
141,0.188,0.242,-1.258
142,-0.207,0.055,-1.555
143,-1.113,-0.086,-1.336
144,-1.121,0.180,-0.840
145,-0.922,-0.023,-0.754
146,-0.531,-0.395,-1.145
147,0.109,-0.066,-1.422
148,0.105,0.484,-1.164
149,-0.988,0.176,-0.555
150,-1.094,-0.031,-0.172
151,-0.191,0.133,-0.406
152,0.262,0.152,-1.625
153,-0.258,-0.086,-1.574
154,-0.258,-0.086,-1.574
155,-0.652,0.090,-0.852
156,-0.754,0.156,-0.164
157,-0.664,0.016,-0.316
158,-0.250,-0.273,-1.352
159,0.113,0.199,-1.594
160,-0.375,0.125,-0.965
161,-1.047,-0.016,-0.199
162,-0.527,0.238,-0.215
163,-0.027,0.070,-1.078
164,-0.219,0.000,-1.621
165,-0.504,-0.098,-1.566
166,-0.742,0.160,-0.461
167,-0.801,-0.141,-0.676
168,-0.266,-0.066,-0.977
169,-0.039,0.090,-1.367
170,-0.578,-0.035,-1.305
171,-0.977,-0.066,-0.832
172,-0.387,0.246,-0.203
173,-0.195,0.156,-0.703
174,-0.082,0.129,-1.320
175,-0.309,0.168,-1.352
176,-0.793,0.055,-1.016
177,-0.969,-0.285,-0.707
178,-0.172,0.074,-0.438
179,0.238,0.184,-1.285
180,-0.246,-0.043,-1.266
181,-0.742,0.062,-0.832
182,-0.836,0.141,-0.469
183,-0.453,0.020,-0.285
184,0.020,0.070,-1.066
185,0.023,0.125,-1.430
186,-0.586,0.023,-1.352
187,-1.016,0.086,-0.789
188,-0.922,-0.137,-0.809
189,-0.250,-0.340,-1.082
190,0.113,0.172,-1.512
191,-0.266,0.191,-1.277
192,-1.031,-0.027,-0.613
193,-0.914,0.121,-0.145
194,-0.176,0.227,-0.391
195,0.055,0.000,-1.535
196,-0.238,0.094,-1.527
197,-0.691,0.133,-0.938
198,-0.965,0.000,-0.500
199,-0.520,-0.062,-0.363
200,0.066,0.059,-1.387
201,-0.129,-0.172,-1.570
202,-0.770,-0.051,-1.195
203,-0.754,0.180,-0.434
204,-0.176,0.254,-0.363
205,-0.031,0.148,-0.441
206,0.078,-0.047,-1.461
207,0.023,0.090,-1.457
208,-0.484,0.094,-0.824
209,-0.500,-0.262,-0.254
210,0.379,-0.082,-0.922
211,0.852,0.020,-1.426
212,0.172,-0.059,-1.504
213,-0.359,-0.234,-0.941
214,-0.117,-0.074,-0.512
215,0.453,0.145,-0.805
216,0.660,0.027,-1.332
217,0.406,0.094,-1.375
218,0.172,0.277,-1.070
219,-0.367,0.105,-0.535
220,-0.895,-0.246,-0.406
221,-0.250,-0.312,-1.379
222,0.148,0.242,-1.520
223,0.000,-0.340,-0.965
224,-0.188,0.469,-0.418
225,-0.504,0.043,-0.500
226,-0.402,-0.129,-0.980
227,0.047,0.016,-1.387
228,0.117,0.281,-1.281
229,-0.324,0.070,-0.715
230,-0.770,-0.211,-0.816
231,-0.148,-0.320,-1.176
232,-0.148,-0.320,-1.176
233,0.191,0.137,-1.492
234,0.301,-0.008,-1.277
235,-0.082,-0.051,-0.691
236,-0.148,0.000,-0.562
237,-0.242,-0.125,-0.852
238,0.113,-0.008,-1.344
239,0.223,0.227,-1.266
240,0.117,0.273,-0.816
241,-0.004,-0.008,-0.270
242,-0.062,0.039,-0.941
243,0.062,-0.094,-1.438
244,0.012,-0.105,-1.324
245,-0.277,0.016,-1.000
246,-0.152,-0.188,-0.531
247,0.426,0.270,-0.371
248,0.141,-0.031,-1.168
249,-0.301,-0.195,-1.500
250,-0.461,-0.008,-1.141
251,-0.375,0.367,-0.680
252,-0.125,0.035,-0.652
253,0.148,-0.180,-1.133
254,0.391,-0.062,-1.535
255,0.250,0.285,-1.328
256,-0.910,-0.230,-0.723
257,-0.555,-0.375,-0.461
258,0.477,0.121,-0.863
259,0.473,0.129,-1.391
260,-0.391,-0.094,-1.262
261,-0.352,0.109,-0.879
262,-0.016,0.355,-0.488
263,-0.312,0.035,-1.004
264,0.164,-0.324,-1.441
265,0.746,0.242,-1.402
266,0.078,0.223,-0.848
267,-0.941,-0.195,-0.434
268,-0.066,-0.059,-0.277
269,0.719,0.270,-1.172
270,0.094,-0.207,-1.520
271,-0.367,-0.164,-1.043
272,-0.020,0.664,-0.672
273,-0.199,0.203,-0.363
274,-0.648,-0.586,-1.250
275,0.152,-0.070,-1.566
276,0.406,0.254,-1.324
277,-0.066,0.254,-0.648
278,-0.898,-0.438,-0.332
279,-0.113,0.000,-0.387
280,0.227,0.000,-1.426
281,0.066,-0.055,-1.531
282,-0.328,-0.012,-0.977
283,-0.180,0.074,-0.293
284,-0.113,0.020,-0.836
285,-0.090,0.070,-1.484
286,-0.035,-0.066,-1.500
287,0.008,-0.023,-1.027
288,0.016,0.160,-0.422
289,0.035,0.258,-0.246
290,-0.324,-0.367,-0.848
291,0.117,0.020,-1.250
292,0.227,0.020,-1.266
293,0.098,0.176,-1.102
294,-0.520,-0.078,-0.457
295,-0.258,-0.117,-0.855
296,0.520,0.180,-1.090
297,0.270,0.062,-1.441
298,-0.211,-0.098,-1.109
299,-0.199,0.203,-0.738
300,-0.250,-0.004,-0.324
301,0.008,-0.391,-0.891
302,0.609,0.098,-1.137
303,0.387,0.180,-1.043
304,-0.723,-0.156,-0.824
305,-0.504,-0.039,-0.805
306,0.020,-0.176,-1.176
307,0.410,0.160,-1.617
308,-0.055,-0.039,-1.324
309,-0.367,0.168,-0.879
310,-0.566,-0.094,-0.477
311,-0.059,-0.012,-0.395
312,0.434,0.121,-1.207
313,0.379,-0.059,-1.254
314,0.000,0.266,-0.852
315,-0.535,-0.082,-0.469
316,-0.562,-0.043,-0.410
317,0.055,-0.488,-1.371
318,0.637,0.207,-1.734
319,0.090,-0.055,-1.332
320,-0.418,0.207,-0.781
321,-0.391,-0.051,-0.523
322,0.004,-0.016,-0.453
323,0.727,-0.016,-1.363
324,0.293,0.203,-1.020
325,-0.273,0.082,-0.625
326,-0.531,-0.160,-0.191
327,-0.121,0.043,-1.055
328,0.348,-0.094,-1.609
329,0.027,-0.062,-1.555
330,0.000,0.086,-1.105
331,-0.320,0.117,-0.512
332,-0.348,0.176,-0.641
333,-0.184,-0.223,-1.023
334,0.414,0.223,-1.098
335,0.059,0.336,-0.914
336,-0.723,-0.172,-0.535
337,-0.320,-0.105,-0.285
338,0.484,0.000,-1.164
339,0.391,0.020,-1.629
340,-0.359,-0.555,-1.473
341,-0.277,0.195,-0.973
342,-0.344,0.012,-0.777
343,0.027,-0.316,-1.016
344,0.535,0.219,-1.215
345,0.219,0.215,-0.965
346,-0.293,0.254,-0.750
347,-0.496,-0.109,-0.246
348,-0.020,0.027,-0.914
349,0.449,-0.039,-1.410
350,0.309,-0.262,-1.234
351,-0.023,0.469,-0.977
352,-0.938,-0.371,-0.777
353,-0.480,-0.227,-1.055
354,0.379,-0.016,-1.297
355,0.781,0.379,-1.363
356,0.078,0.207,-0.742
357,-0.320,-0.008,-0.410
358,-0.012,0.398,-0.285
359,-0.500,-0.250,-1.191
360,-0.465,-0.215,-1.605
361,0.180,-0.074,-1.246
362,0.176,0.527,-0.812
363,-0.547,-0.352,-0.352
364,-0.469,-0.344,-1.066
365,0.328,0.059,-1.512
366,0.152,0.000,-1.340
367,-0.309,0.215,-0.793
368,0.172,0.117,-0.410
369,0.410,0.527,-0.340
370,-0.223,-0.254,-1.344
371,-0.363,-0.129,-1.473
372,0.066,-0.008,-0.965
373,0.008,0.121,-0.312
374,-0.344,-0.223,-0.410
375,0.000,-0.172,-1.258
376,0.648,0.332,-1.406
377,0.082,0.238,-0.930
378,-0.586,-0.023,-0.688
379,0.062,0.188,-0.312
380,0.328,0.148,-1.070
381,-0.062,0.035,-1.395
382,-0.457,-0.195,-1.062
383,-0.098,0.301,-0.637
384,0.066,0.020,-0.727
385,-0.289,-0.371,-1.238
386,0.109,-0.496,-1.520
387,0.219,0.266,-1.305
388,-0.055,0.281,-0.711
389,-0.555,-0.031,-0.641
390,-0.168,-0.039,-0.430
391,0.207,0.340,-1.445
392,-0.078,-0.035,-1.273
393,-0.273,-0.012,-0.848
394,-0.051,0.219,-0.441
395,-0.113,-0.273,-0.426
396,0.016,-0.176,-1.441
397,0.402,-0.008,-1.496
398,0.074,0.348,-1.020
399,-0.832,-0.078,-0.453
400,-0.320,0.082,-0.301
401,0.469,0.105,-1.129
402,0.656,0.137,-1.457
403,0.238,0.277,-1.270
404,-0.492,-0.039,-0.512
